WBS,Lot ID,Factory,BU,Dpmt,Total_Lots,3300_EUV,3400_EUV,Year,JPN_YTD,Month
BU,AX305825,FRD,ES,PE1,9.36,0,0.99,2/1/2023,FY60,2/1/2023
BU,AX305820,FRD,ES,PE3,4.36,0,0,2/1/2023,FY60,2/1/2023
BU,AX306455,FRD,ES,PE1,6.36,0,0.8,2/1/2023,FY60,2/1/2023
BU,AX305822,FRD,ES,PE3,4.36,0,0,2/1/2023,FY60,2/1/2023
BU,AX306454,FRD,ES,PE4,16.36,0,1.55,2/1/2023,FY60,2/1/2023
BU,AX305823,FRD,ES,PE1,8.36,0,1.24,2/1/2023,FY60,2/1/2023
BU,AX307886,FRD,ES,PE1,9.36,0,0,2/1/2023,FY60,2/1/2023
BU,AX305824,FRD,ES,PE1,8.36,0,1.27,2/1/2023,FY60,2/1/2023
BU,AX305821,FRD,ES,PE3,4.36,0,0,2/1/2023,FY60,2/1/2023
BU,AX306455,FRD,ES,PE1,1,0,0.69,3/1/2023,FY60,3/1/2023
BU,AX306454,FRD,ES,PE4,0,0,0.08,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,2,0,0,6/1/2023,FY61,6/1/2023
BU,AX301778,FKL,CT,PT,0,0,0.37,3/1/2023,FY60,3/1/2023
BU,AX309801,FKL,CT,PT,3.36,0,0,3/1/2023,FY60,3/1/2023
BU,AX305826,FRD,ES,PE1,1,0,0,3/1/2023,FY60,3/1/2023
BU,AX307888,FRD,ES,PE1,1,0,0.62,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,28,0,1.65,7/1/2023,FY61,7/1/2023
FRD,AX310237,FRD,FID,FID,3.83,0,0,3/1/2023,FY60,3/1/2023
BU,AX308421,FRD,ES,PE2,9.36,0,1.33,3/1/2023,FY60,3/1/2023
FRD,AX310027,FRD,FID,FID,5.36,0,0,3/1/2023,FY60,3/1/2023
BU,AX309802,FKL,CT,PT,3.36,0,0,3/1/2023,FY60,3/1/2023
FRD,AX303266,FRD,FID,FID,9.8,0,0,3/1/2023,FY60,3/1/2023
FRD,AX309132,FRD,FID,FID,5.47,0,0,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,18.2,0,0,8/1/2023,FY61,8/1/2023
BU,AX309800,FKL,CT,PT,3.36,0,0,3/1/2023,FY60,3/1/2023
BU,AX307886,FRD,ES,PE1,1,0,0,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,14.6,0,0,9/1/2023,FY61,9/1/2023
BU,AX314478,FRD,ES,PE1,8.6,0,0,10/1/2023,FY61,10/1/2023
FRD,AX310028,FRD,FID,FID,6.36,0,0,3/1/2023,FY60,3/1/2023
BU,AX306576,FKL,CT,PT,0,0,0.93,3/1/2023,FY60,3/1/2023
BU,AX307887,FRD,ES,APD,2,0,0.69,3/1/2023,FY60,3/1/2023
BU,AX302967,FKL,CT,PT,0,0,0.97,3/1/2023,FY60,3/1/2023
BU,AX306578,FRD,ES,PE1,1,0,1.03,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,13.2,0,0,11/1/2023,FY61,11/1/2023
BU,AX309799,FKL,CT,PT,3.36,0,0.75,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,8.37,0,0,12/1/2023,FY61,12/1/2023
BU,AX314478,FRD,ES,PE1,1,0,0,1/1/2024,FY61,1/1/2024
FRD,AX231348,ISP,ISP,FEB,1,0,0,3/1/2023,FY60,3/1/2023
BU,AX314478,FRD,ES,PE1,0.9,0,0,2/1/2024,FY61,2/1/2024
BU,AX314478,FRD,ES,PE1,5,0,0,3/1/2024,FY61,3/1/2024
BU,AX230825,FRD,ES,PE2,0.7,0,0,3/1/2023,FY60,3/1/2023
BU,AX202303,FRD,FID,FID,0,0,1.18,3/1/2023,FY60,3/1/2023
FRD,AX220873,FRD,FID,FID,5,0,0,3/1/2023,FY60,3/1/2023
BU,AX300959,FRD,ES,PE1,1,0,1.62,3/1/2023,FY60,3/1/2023
BU,AX229968,FKL,CT,PT,0,0,0.35,3/1/2023,FY60,3/1/2023
BU,AX207090,FRD,ES,PE1,1,0,0,3/1/2023,FY60,3/1/2023
BU,AX232881,FKL,CT,PT,0,0,0.03,3/1/2023,FY60,3/1/2023
BU,AX309751,FTS,ES,PT,3.36,0,0,3/1/2023,FY60,3/1/2023
FRD,AX314981,ISP,ISP,FEB,11.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX230360,FRD,ES,PE1,9,0,1.39,4/1/2023,FY61,4/1/2023
BU,AX316450,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX230361,FRD,ES,PE1,9,0,0.96,4/1/2023,FY61,4/1/2023
BU,AX230689,FRD,ES,PE1,3,0,0,4/1/2023,FY61,4/1/2023
BU,AX230363,FRD,ES,PE1,9,0,1.32,4/1/2023,FY61,4/1/2023
BU,AX230688,FRD,ES,PE1,3,0,0,4/1/2023,FY61,4/1/2023
BU,AX230825,FRD,ES,PE2,0.84,0,0,4/1/2023,FY61,4/1/2023
FRD,AX310028,FRD,FID,FID,1,0,0,4/1/2023,FY61,4/1/2023
FRD,AX314981,ISP,ISP,FEB,4,0,0,6/1/2023,FY61,6/1/2023
BU,AX316448,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX316447,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX230362,FRD,ES,PE1,9,0,1.39,4/1/2023,FY61,4/1/2023
BU,AX316449,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX316454,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX316452,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX309799,FKL,CT,PT,0,0,2.12,4/1/2023,FY61,4/1/2023
FRD,AX328639,ISP,ISP,FEB,3.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX207090,FRD,ES,PE1,6.71,0,0,4/1/2023,FY61,4/1/2023
FRD,AX328639,ISP,ISP,FEB,5,0,0,7/1/2023,FY61,7/1/2023
BU,AX309801,FKL,CT,PT,4,0,3.02,4/1/2023,FY61,4/1/2023
FRD,AX310027,FRD,FID,FID,1,0,0,4/1/2023,FY61,4/1/2023
BU,AX308421,FRD,ES,PE2,17,0,0,4/1/2023,FY61,4/1/2023
FRD,AX314981,ISP,ISP,FEB,2,0,0,7/1/2023,FY61,7/1/2023
FRD,AX216251,ISP,ISP,FEB,1,0,0,4/1/2023,FY61,4/1/2023
FRD,AX331656,ISP,ISP,FEB,8.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX306576,FKL,CT,PT,1,0,1.49,4/1/2023,FY61,4/1/2023
FRD,AX334288,ISP,ISP,FEB,8.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX306573,FKL,CT,PT,1,0,2.44,4/1/2023,FY61,4/1/2023
FRD,AX334289,ISP,ISP,FEB,8.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX331656,ISP,ISP,FEB,2,0,0,8/1/2023,FY61,8/1/2023
FRD,AX328639,ISP,ISP,FEB,3,0,0,9/1/2023,FY61,9/1/2023
BU,AX316453,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX316451,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX316446,FKL,FPS,PT,10.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX334288,ISP,ISP,FEB,2,0,0,9/1/2023,FY61,9/1/2023
FRD,AX334288,ISP,ISP,FEB,2,0,0,11/1/2023,FY61,11/1/2023
FRD,AX314188,FRD,FID,FID,7.19,0,0,4/1/2023,FY61,4/1/2023
BU,AX313821,FKL,CT,PT,3.36,0,0.1,4/1/2023,FY61,4/1/2023
BU,AX302967,FKL,CT,PT,1,0,0,4/1/2023,FY61,4/1/2023
FRD,AX356546,ISP,ISP,FEB,8.36,0,0,11/1/2023,FY61,11/1/2023
BU,AX313820,FKL,CT,PT,7.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX356545,ISP,ISP,FEB,8.36,0,0,11/1/2023,FY61,11/1/2023
BU,AX230827,FEB,FID,FEB,6,0,0,4/1/2023,FY61,4/1/2023
FRD,AX313783,ISP,ISP,FEB,10.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX356545,ISP,ISP,FEB,2,0,0,12/1/2023,FY61,12/1/2023
BU,AX202302,FKL,CT,PT,0,0,0.01,4/1/2023,FY61,4/1/2023
FRD,AX356545,ISP,ISP,FEB,1,0,0,1/1/2024,FY61,1/1/2024
BU,AX311540,FKL,CT,PT,7.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX301779,FKL,CT,PT,2,0,1.47,4/1/2023,FY61,4/1/2023
FRD,AX313182,ISP,ISP,FEB,8.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX301778,FKL,CT,PT,0,0,1.6,4/1/2023,FY61,4/1/2023
FRD,AX314189,FRD,FID,FID,4.19,0,0,4/1/2023,FY61,4/1/2023
BU,AX314614,FRD,ES,PE3,10.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX356545,ISP,ISP,FEB,1,0,0,2/1/2024,FY61,2/1/2024
BU,AX314615,FRD,ES,PE3,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX202303,FRD,FID,FID,0,0,3.64,4/1/2023,FY61,4/1/2023
BU,AX304029,FRD,ES,PE1,2,0,1.49,4/1/2023,FY61,4/1/2023
BU,AX311211,FKL,CT,PT,7.36,0,2.07,4/1/2023,FY61,4/1/2023
FRD,AX356546,ISP,ISP,FEB,2,0,0,2/1/2024,FY61,2/1/2024
FRD,AX314618,FRD,FID,FID,6.19,0,0,4/1/2023,FY61,4/1/2023
FRD,AX311573,ISP,ISP,FEB,8.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX315627,ISP,ISP,FEB,9.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX232885,FKL,CT,PT,0,0,0.85,4/1/2023,FY61,4/1/2023
BU,AX314616,FRD,ES,PE3,10.36,0,0,4/1/2023,FY61,4/1/2023
BU,AX314617,FRD,ES,PE3,10.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX315226,FRD,FID,FID,6.59,0,0,4/1/2023,FY61,4/1/2023
FRD,AX311574,ISP,ISP,FEB,8.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX409201,ISP,ISP,FEB,8.37,0,0,2/1/2024,FY61,2/1/2024
FRD,AX310237,FRD,FID,FID,2,0,0,4/1/2023,FY61,4/1/2023
BU,AX311539,FKL,CT,PT,7.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX313182,ISP,ISP,FEB,4,0,0,5/1/2023,FY61,5/1/2023
BU,AX319442,FKL,CT,PT,0,0,2.28,5/1/2023,FY61,5/1/2023
FRD,AX409200,ISP,ISP,FEB,8.36,0,0,2/1/2024,FY61,2/1/2024
FRD,AX409199,ISP,ISP,FEB,8.36,0,0,2/1/2024,FY61,2/1/2024
BU,AX321859,FTS,ES,PT,2,0,0,5/1/2023,FY61,5/1/2023
BU,AX319444,FKL,CT,PT,0,0,1.99,5/1/2023,FY61,5/1/2023
BU,AX319443,FKL,CT,PT,0,0,2.17,5/1/2023,FY61,5/1/2023
BU,AX322471,FEB,FID,FEB,5.36,0,0,5/1/2023,FY61,5/1/2023
FRD,AX432928,ISP,ISP,FEB,8.36,0,0,5/1/2024,FY62,5/1/2024
BU,AX309799,FKL,CT,PT,0,0,0.47,5/1/2023,FY61,5/1/2023
BU,AX318968,FKL,CT,PT,7.36,0,0,5/1/2023,FY61,5/1/2023
BU,AX309801,FKL,CT,PT,0,0,0.15,5/1/2023,FY61,5/1/2023
BU,AX313821,FKL,CT,PT,0,0,0.65,5/1/2023,FY61,5/1/2023
BU,AX311539,FKL,CT,PT,1,0,2.58,5/1/2023,FY61,5/1/2023
BU,AX313820,FKL,CT,PT,1,0,1.56,5/1/2023,FY61,5/1/2023
FRD,AX311573,ISP,ISP,FEB,1,0,0,5/1/2023,FY61,5/1/2023
FRD,AX432927,ISP,ISP,FEB,8.36,0,0,5/1/2024,FY62,5/1/2024
FRD,AX432928,ISP,ISP,FEB,1,0,0,6/1/2024,FY62,6/1/2024
BU,AX319441,FKL,CT,PT,0,0,2.57,5/1/2023,FY61,5/1/2023
FRD,AX409200,ISP,ISP,FEB,2,0,0,7/1/2024,FY62,7/1/2024
FRD,AX409201,ISP,ISP,FEB,2,0,0,7/1/2024,FY62,7/1/2024
BU,AX911918,FKL,FPS,PT,12,0,0,10/1/2019,FY57,10/1/2019
FRD,AX310027,FRD,FID,FID,1,0,0,5/1/2023,FY61,5/1/2023
BU,AX115675,FKL,FPS,PT,4,0,0,8/1/2021,FY59,8/1/2021
BU,AX318969,FKL,CT,PT,8.36,0,2.38,5/1/2023,FY61,5/1/2023
BU,AX212936,FRD,ES,PE1,1,0,0,5/1/2022,FY60,5/1/2022
FRD,AX313783,ISP,ISP,FEB,4,0,0,5/1/2023,FY61,5/1/2023
BU,AX311540,FKL,CT,PT,0,0,0.77,5/1/2023,FY61,5/1/2023
BU,AX207090,FRD,ES,PE1,3,0,0,5/1/2023,FY61,5/1/2023
BU,AX209142,FKL,CT,PT,1,0,0,5/1/2023,FY61,5/1/2023
BU,AX202303,FRD,FID,FID,0,0,1.18,5/1/2023,FY61,5/1/2023
BU,AX232883,FKL,CT,PT,0,0,0.12,5/1/2023,FY61,5/1/2023
BU,AX301779,FKL,CT,PT,1,0,0.97,5/1/2023,FY61,5/1/2023
BU,AX212936,FRD,ES,PE1,7,0,0,6/1/2022,FY60,6/1/2022
BU,AX306576,FKL,CT,PT,0,0,0.04,5/1/2023,FY61,5/1/2023
BU,AX232885,FKL,CT,PT,2,0,0,5/1/2023,FY61,5/1/2023
FRD,AX202301,FRD,FID,FID,46.24,0,0,5/1/2023,FY61,5/1/2023
BU,AX222836,FRD,ES,PE1,7,0,0,9/1/2022,FY60,9/1/2022
BU,AX211951,FRD,ES,PE2,1,0,0,5/1/2023,FY61,5/1/2023
BU,AX307886,FRD,ES,PE1,2,0,0,5/1/2023,FY61,5/1/2023
FRD,AX313783,ISP,ISP,FEB,9,0,0,6/1/2023,FY61,6/1/2023
FRD,AX323668,FRD,FID,FID,3.77,0,0,6/1/2023,FY61,6/1/2023
BU,AX202303,FRD,FID,FID,0,0,5.32,6/1/2023,FY61,6/1/2023
BU,AX323328,FKL,CT,PT,0,0,1.09,6/1/2023,FY61,6/1/2023
BU,AX323332,FKL,CT,PT,1,0,1.17,6/1/2023,FY61,6/1/2023
BU,AX313821,FKL,CT,PT,0,0,0.77,6/1/2023,FY61,6/1/2023
BU,AX323334,FKL,CT,PT,0,0,1,6/1/2023,FY61,6/1/2023
BU,AX323335,FKL,CT,PT,0,0,0.74,6/1/2023,FY61,6/1/2023
BU,AX230826,FRD,ES,PE1,6.36,0,0,11/1/2022,FY60,11/1/2022
BU,AX323501,FKL,FPS,PT,7.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX232885,FKL,CT,PT,0,0,0.93,6/1/2023,FY61,6/1/2023
BU,AX323502,FKL,FPS,PT,7.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX326820,FRD,FID,FID,5.06,0,0,6/1/2023,FY61,6/1/2023
BU,AX324750,FKL,CT,PT,3,0,0,6/1/2023,FY61,6/1/2023
FRD,AX323669,FRD,FID,FID,4.82,0,0,6/1/2023,FY61,6/1/2023
BU,AX306769,FRD,ES,PE1,8.36,0,0,2/1/2023,FY60,2/1/2023
BU,AX306769,FRD,ES,PE1,1,0,0,3/1/2023,FY60,3/1/2023
BU,AX323327,FKL,CT,PT,0,0,0.46,6/1/2023,FY61,6/1/2023
BU,AX319439,FRD,ES,PDE1,7.36,0,0.33,5/1/2023,FY61,5/1/2023
BU,AX207090,FRD,ES,PE1,4,0,0,6/1/2023,FY61,6/1/2023
BU,AX318968,FKL,CT,PT,0,0,2.53,6/1/2023,FY61,6/1/2023
BU,AX319439,FRD,ES,PDE1,1,0,0.82,6/1/2023,FY61,6/1/2023
BU,AX321915,FKL,CT,PT,3,0,0,6/1/2023,FY61,6/1/2023
BU,AX321917,FKL,CT,PT,4,0,3.17,6/1/2023,FY61,6/1/2023
BU,AX319439,FRD,ES,PDE1,2,0,0,4/1/2024,FY62,4/1/2024
BU,AX321919,FKL,CT,PT,0,0,1.95,6/1/2023,FY61,6/1/2023
BU,AX319439,FRD,ES,PDE1,2,0,0,6/1/2024,FY62,6/1/2024
BU,AX328262,FKL,CT,PT,3.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX312532,FRD,ES,APRO,8,0,1.41,4/1/2023,FY61,4/1/2023
BU,AX330428,FRD,ES,APRO,8.36,0,2.19,7/1/2023,FY61,7/1/2023
FRD,AX221237,FRD,FID,FID,5,0,0,6/1/2023,FY61,6/1/2023
BU,AX330429,FRD,ES,APRO,10.36,0,0.64,7/1/2023,FY61,7/1/2023
BU,AX330429,FRD,ES,APRO,1,0,1.15,8/1/2023,FY61,8/1/2023
BU,AX330428,FRD,ES,APRO,2,0,1.33,8/1/2023,FY61,8/1/2023
BU,AX324317,FRD,ES,APD,9.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX354475,FRD,ES,APRO,12.36,0,1.96,11/1/2023,FY61,11/1/2023
BU,AX232883,FKL,CT,PT,0,0,1.77,6/1/2023,FY61,6/1/2023
FRD,AX324812,ISP,ISP,FEB,7.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX315627,ISP,ISP,FEB,3,0,0,6/1/2023,FY61,6/1/2023
BU,AX411824,FRD,ES,PSD,8.85,0,0.27,3/1/2024,FY61,3/1/2024
BU,AX218309,FEB,FID,FEB,1,0,0,6/1/2023,FY61,6/1/2023
FRD,AX323667,FRD,FID,FID,3.77,0,0,6/1/2023,FY61,6/1/2023
BU,AX411824,FRD,ES,PSD,2,0,1.1,4/1/2024,FY62,4/1/2024
BU,AX907880,FTS,ES,PT,2,0,0,7/1/2019,FY57,7/1/2019
BU,AX907880,FTS,ES,PT,2,0,0,10/1/2019,FY57,10/1/2019
BU,AX218743,FKL,CT,PT,3,0,0,7/1/2022,FY60,7/1/2022
BU,AX218743,FKL,CT,PT,0,0,0.47,8/1/2022,FY60,8/1/2022
FRD,AX219744,ISP,ISP,FEB,4,0,0,8/1/2022,FY60,8/1/2022
BU,AX218743,FKL,CT,PT,0,0,0.09,9/1/2022,FY60,9/1/2022
FRD,AX227451,ISP,ISP,FEB,5.36,0,0,10/1/2022,FY60,10/1/2022
FRD,AX328969,ISP,ISP,FEB,3.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX302425,ISP,ISP,FEB,5.36,0,0,1/1/2023,FY60,1/1/2023
FRD,AX300203,ISP,ISP,FEB,5.36,0,0,1/1/2023,FY60,1/1/2023
FRD,AX310028,FRD,FID,FID,1,0,0,6/1/2023,FY61,6/1/2023
FRD,AX302425,ISP,ISP,FEB,2,0,0,2/1/2023,FY60,2/1/2023
FRD,AX310027,FRD,FID,FID,2,0,0,6/1/2023,FY61,6/1/2023
BU,AX328264,FKL,CT,PT,7.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX328265,FKL,CT,PT,3.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX328261,FKL,CT,PT,3.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX328263,FKL,CT,PT,7.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX307306,ISP,ISP,FEB,3.36,0,0,2/1/2023,FY60,2/1/2023
FRD,AX305370,ISP,ISP,FEB,5.36,0,0,2/1/2023,FY60,2/1/2023
FRD,AX305370,ISP,ISP,FEB,1,0,0,4/1/2023,FY61,4/1/2023
FRD,AX324573,FRD,FID,FID,4.82,0,0,6/1/2023,FY61,6/1/2023
FRD,AX329031,FRD,FID,FID,3.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX202301,FRD,FID,FID,43.24,0,0,6/1/2023,FY61,6/1/2023
BU,AX302968,FKL,CT,PT,1,0,1.62,6/1/2023,FY61,6/1/2023
FRD,AX318529,ISP,ISP,FEB,2.36,0,0,4/1/2023,FY61,4/1/2023
FRD,AX219744,ISP,ISP,FEB,1,0,0,4/1/2023,FY61,4/1/2023
FRD,AX320678,ISP,ISP,FEB,5.36,0,0,5/1/2023,FY61,5/1/2023
FRD,AX318529,ISP,ISP,FEB,3,0,0,5/1/2023,FY61,5/1/2023
FRD,AX325653,ISP,ISP,FEB,9.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX311540,FKL,CT,PT,0,0,0.14,6/1/2023,FY61,6/1/2023
FRD,AX320678,ISP,ISP,FEB,1,0,0,6/1/2023,FY61,6/1/2023
FRD,AX326819,FRD,FID,FID,30.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX328291,ISP,ISP,FEB,5.36,0,0,6/1/2023,FY61,6/1/2023
FRD,AX327503,ISP,ISP,FEB,7.36,0,0,6/1/2023,FY61,6/1/2023
BU,AX330437,FRD,ES,PE1,10.36,0,0.59,7/1/2023,FY61,7/1/2023
BU,AX330436,FRD,ES,PE1,8.36,0,0.77,7/1/2023,FY61,7/1/2023
FRD,AX305370,ISP,ISP,FEB,2,0,0,6/1/2023,FY61,6/1/2023
BU,AX330438,FRD,ES,PE1,10.36,0,0.59,7/1/2023,FY61,7/1/2023
BU,AX330439,FRD,ES,PE1,11.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX321917,FKL,CT,PT,2,0,0,7/1/2023,FY61,7/1/2023
FRD,AX328291,ISP,ISP,FEB,6.95,0,0,7/1/2023,FY61,7/1/2023
FRD,AX339222,ISP,ISP,FEB,3,0,0,8/1/2023,FY61,8/1/2023
FRD,AX336687,ISP,ISP,FEB,7.36,0,0,8/1/2023,FY61,8/1/2023
BU,AX328261,FKL,CT,PT,1,0,0,7/1/2023,FY61,7/1/2023
FRD,AX328291,ISP,ISP,FEB,9.3,0,0,8/1/2023,FY61,8/1/2023
FRD,AX329031,FRD,FID,FID,48,0,0,7/1/2023,FY61,7/1/2023
BU,AX324750,FKL,CT,PT,0,0,0.72,7/1/2023,FY61,7/1/2023
BU,AX330435,FRD,ES,PE1,8.36,0,0.81,7/1/2023,FY61,7/1/2023
FRD,AX336687,ISP,ISP,FEB,5,0,0,9/1/2023,FY61,9/1/2023
BU,AX323331,FKL,CT,PT,0,0,1.09,7/1/2023,FY61,7/1/2023
BU,AX323330,FKL,CT,PT,0,0,2.55,7/1/2023,FY61,7/1/2023
FRD,AX345109,ISP,ISP,FEB,6.36,0,0,9/1/2023,FY61,9/1/2023
BU,AX218743,FKL,CT,PT,0,0,1.15,9/1/2023,FY61,9/1/2023
BU,AX323333,FKL,CT,PT,0,0,0.85,7/1/2023,FY61,7/1/2023
FRD,AX328291,ISP,ISP,FEB,10,0,0,9/1/2023,FY61,9/1/2023
FRD,AX345109,ISP,ISP,FEB,8.3,0,0,10/1/2023,FY61,10/1/2023
FRD,AX326819,FRD,FID,FID,15,0,0,7/1/2023,FY61,7/1/2023
FRD,AX325653,ISP,ISP,FEB,2,0,0,7/1/2023,FY61,7/1/2023
BU,AX323502,FKL,FPS,PT,3,0,0,7/1/2023,FY61,7/1/2023
BU,AX330430,FRD,ES,PE1,7.36,0,0.49,7/1/2023,FY61,7/1/2023
BU,AX330432,FRD,ES,PE1,7.36,0,0.47,7/1/2023,FY61,7/1/2023
BU,AX330433,FRD,ES,PE1,8.36,0,0.81,7/1/2023,FY61,7/1/2023
BU,AX330434,FRD,ES,PE1,8.36,0,0.59,7/1/2023,FY61,7/1/2023
BU,AX324317,FRD,ES,APD,13.9,0,1.67,7/1/2023,FY61,7/1/2023
FRD,AX328969,ISP,ISP,FEB,5,0,0,7/1/2023,FY61,7/1/2023
FRD,AX328291,ISP,ISP,FEB,5,0,0,10/1/2023,FY61,10/1/2023
BU,AX323501,FKL,FPS,PT,3,0,0,7/1/2023,FY61,7/1/2023
FRD,AX336687,ISP,ISP,FEB,3.87,0,0,10/1/2023,FY61,10/1/2023
BU,AX330431,FRD,ES,PE1,7.36,0,0.31,7/1/2023,FY61,7/1/2023
FRD,AX345109,ISP,ISP,FEB,6.44,0,0,11/1/2023,FY61,11/1/2023
FRD,AX356035,ISP,ISP,FEB,7.36,0,0,11/1/2023,FY61,11/1/2023
FRD,AX363693,ISP,ISP,FEB,5.36,0,0,12/1/2023,FY61,12/1/2023
BU,AX202303,FRD,FID,FID,0,0,2.35,7/1/2023,FY61,7/1/2023
BU,AX332636,FRD,ES,PE1,11.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX332809,FRD,ES,PE1,8.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX332810,FRD,ES,PE1,9.36,0,0,7/1/2023,FY61,7/1/2023
BU,AX332811,FRD,ES,PE1,8.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX362336,ISP,ISP,FEB,5.36,0,0,12/1/2023,FY61,12/1/2023
FRD,AX356035,ISP,ISP,FEB,4,0,0,12/1/2023,FY61,12/1/2023
FRD,AX328291,ISP,ISP,FEB,1,0,0,12/1/2023,FY61,12/1/2023
BU,AX209142,FKL,CT,PT,3,0,0,7/1/2023,FY61,7/1/2023
FRD,AX313783,ISP,ISP,FEB,6.95,0,0,7/1/2023,FY61,7/1/2023
BU,AX333168,FKL,CT,PT,9.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX333105,FRD,FID,FID,7.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX333911,FRD,FID,FID,10.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX345109,ISP,ISP,FEB,1,0,0,12/1/2023,FY61,12/1/2023
FRD,AX202301,FRD,FID,FID,4,0,0,7/1/2023,FY61,7/1/2023
BU,AX311540,FKL,CT,PT,1,0,0.53,7/1/2023,FY61,7/1/2023
FRD,AX311574,ISP,ISP,FEB,2,0,0,7/1/2023,FY61,7/1/2023
FRD,AX362336,ISP,ISP,FEB,6,0,0,1/1/2024,FY61,1/1/2024
FRD,AX311573,ISP,ISP,FEB,3,0,0,7/1/2023,FY61,7/1/2023
FRD,AX363693,ISP,ISP,FEB,2,0,0,1/1/2024,FY61,1/1/2024
BU,AX309802,FKL,CT,PT,1,0,0,7/1/2023,FY61,7/1/2023
BU,AX332635,FRD,ES,PE1,9.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX356035,ISP,ISP,FEB,3,0,0,1/1/2024,FY61,1/1/2024
BU,AX328262,FKL,CT,PT,2,0,1.07,7/1/2023,FY61,7/1/2023
FRD,AX345109,ISP,ISP,FEB,1.4,0,0,1/1/2024,FY61,1/1/2024
BU,AX218743,FKL,CT,PT,0,0,0.03,1/1/2024,FY61,1/1/2024
BU,AX332634,FRD,ES,PE1,6.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX328291,ISP,ISP,FEB,1,0,0,1/1/2024,FY61,1/1/2024
FRD,AX356035,ISP,ISP,FEB,2,0,0,2/1/2024,FY61,2/1/2024
FRD,AX363693,ISP,ISP,FEB,3,0,0,2/1/2024,FY61,2/1/2024
FRD,AX362336,ISP,ISP,FEB,2,0,0,2/1/2024,FY61,2/1/2024
FRD,AX363693,ISP,ISP,FEB,9,0,0,3/1/2024,FY61,3/1/2024
FRD,AX362336,ISP,ISP,FEB,1,0,0,3/1/2024,FY61,3/1/2024
FRD,AX345109,ISP,ISP,FEB,1,0,0,3/1/2024,FY61,3/1/2024
BU,AX332631,FRD,ES,PE1,5.36,0,0,7/1/2023,FY61,7/1/2023
FRD,AX221237,FRD,FID,FID,6,0,0,7/1/2023,FY61,7/1/2023
